dataset,model,variant,runs,best_error_mean_percent,best_error_population_std_percent,paper_target_mean_percent,paper_target_std_percent,absolute_mean_gap_pp
CIFAR-10,ResNet-20,baseline,5,7.022,0.117,7.21,0.17,0.188
CIFAR-10,ResNet-20,paper_random,5,6.678,0.179,6.73,0.09,0.052
CIFAR-10,ResNet-20,author_constant,5,6.744,0.171,6.73,0.09,0.014
CIFAR-100,ResNet-20,baseline,5,30.652,0.228,30.84,0.19,0.188
CIFAR-100,ResNet-20,paper_random,5,29.876,0.325,29.97,0.11,0.094
CIFAR-100,ResNet-20,author_constant,5,30.042,0.299,29.97,0.11,0.072
Fashion-MNIST,ResNet-20,baseline,5,4.784,0.056,4.39,0.08,0.394
Fashion-MNIST,ResNet-20,paper_random,5,4.586,0.058,4.02,0.07,0.566
Fashion-MNIST,ResNet-20,author_constant,5,4.612,0.060,4.02,0.07,0.592
CIFAR-10,ResNet-32,baseline,5,6.268,0.113,6.41,0.06,0.142
CIFAR-10,ResNet-32,paper_random,5,5.702,0.119,5.66,0.10,0.042
CIFAR-100,ResNet-32,baseline,5,29.032,0.431,28.50,0.37,0.532
CIFAR-100,ResNet-32,paper_random,5,27.422,0.308,27.18,0.32,0.242
Fashion-MNIST,ResNet-32,baseline,5,4.816,0.066,4.16,0.13,0.656
Fashion-MNIST,ResNet-32,paper_random,5,4.572,0.082,3.80,0.05,0.772
