start experiment=cifar10_resnet20_baseline seed=1001
epoch=1/300 lr=0.10000 train_acc=38.29 test_acc=44.48
epoch=2/300 lr=0.10000 train_acc=59.70 test_acc=59.51
epoch=3/300 lr=0.10000 train_acc=67.51 test_acc=63.07
epoch=4/300 lr=0.10000 train_acc=72.24 test_acc=63.39
epoch=5/300 lr=0.10000 train_acc=75.24 test_acc=66.00
epoch=6/300 lr=0.10000 train_acc=76.79 test_acc=61.91
epoch=7/300 lr=0.10000 train_acc=77.91 test_acc=67.36
epoch=8/300 lr=0.10000 train_acc=78.86 test_acc=76.20
epoch=9/300 lr=0.10000 train_acc=79.53 test_acc=78.15
epoch=10/300 lr=0.10000 train_acc=80.13 test_acc=75.67
epoch=11/300 lr=0.10000 train_acc=80.53 test_acc=74.65
epoch=12/300 lr=0.10000 train_acc=81.02 test_acc=76.12
epoch=13/300 lr=0.10000 train_acc=80.96 test_acc=69.81
epoch=14/300 lr=0.10000 train_acc=81.81 test_acc=78.73
epoch=15/300 lr=0.10000 train_acc=81.94 test_acc=74.13
epoch=16/300 lr=0.10000 train_acc=82.06 test_acc=72.85
epoch=17/300 lr=0.10000 train_acc=82.47 test_acc=77.00
epoch=18/300 lr=0.10000 train_acc=82.67 test_acc=65.87
epoch=19/300 lr=0.10000 train_acc=82.57 test_acc=67.02
epoch=20/300 lr=0.10000 train_acc=82.96 test_acc=73.04
epoch=21/300 lr=0.10000 train_acc=83.11 test_acc=75.77
epoch=22/300 lr=0.10000 train_acc=83.19 test_acc=76.50
epoch=23/300 lr=0.10000 train_acc=83.28 test_acc=73.03
epoch=24/300 lr=0.10000 train_acc=83.38 test_acc=79.67
epoch=25/300 lr=0.10000 train_acc=83.58 test_acc=79.29
epoch=26/300 lr=0.10000 train_acc=83.51 test_acc=76.72
epoch=27/300 lr=0.10000 train_acc=83.66 test_acc=70.97
epoch=28/300 lr=0.10000 train_acc=83.67 test_acc=78.94
epoch=29/300 lr=0.10000 train_acc=83.93 test_acc=79.27
epoch=30/300 lr=0.10000 train_acc=83.85 test_acc=78.69
epoch=31/300 lr=0.10000 train_acc=83.96 test_acc=77.21
epoch=32/300 lr=0.10000 train_acc=83.89 test_acc=77.04
epoch=33/300 lr=0.10000 train_acc=83.92 test_acc=78.17
epoch=34/300 lr=0.10000 train_acc=84.25 test_acc=73.88
epoch=35/300 lr=0.10000 train_acc=84.21 test_acc=77.29
epoch=36/300 lr=0.10000 train_acc=84.64 test_acc=76.66
epoch=37/300 lr=0.10000 train_acc=84.17 test_acc=78.24
epoch=38/300 lr=0.10000 train_acc=84.58 test_acc=82.74
epoch=39/300 lr=0.10000 train_acc=84.17 test_acc=69.32
epoch=40/300 lr=0.10000 train_acc=84.24 test_acc=82.53
epoch=41/300 lr=0.10000 train_acc=84.49 test_acc=79.90
epoch=42/300 lr=0.10000 train_acc=84.53 test_acc=74.23
epoch=43/300 lr=0.10000 train_acc=84.53 test_acc=77.85
epoch=44/300 lr=0.10000 train_acc=84.76 test_acc=81.44
epoch=45/300 lr=0.10000 train_acc=84.62 test_acc=75.52
epoch=46/300 lr=0.10000 train_acc=84.68 test_acc=72.75
epoch=47/300 lr=0.10000 train_acc=84.54 test_acc=74.78
epoch=48/300 lr=0.10000 train_acc=84.88 test_acc=82.44
epoch=49/300 lr=0.10000 train_acc=84.67 test_acc=70.89
epoch=50/300 lr=0.10000 train_acc=85.04 test_acc=73.30
epoch=51/300 lr=0.10000 train_acc=84.94 test_acc=80.76
epoch=52/300 lr=0.10000 train_acc=85.11 test_acc=79.60
epoch=53/300 lr=0.10000 train_acc=84.50 test_acc=78.83
epoch=54/300 lr=0.10000 train_acc=84.87 test_acc=74.00
epoch=55/300 lr=0.10000 train_acc=84.88 test_acc=79.22
epoch=56/300 lr=0.10000 train_acc=84.96 test_acc=74.63
epoch=57/300 lr=0.10000 train_acc=84.91 test_acc=73.74
epoch=58/300 lr=0.10000 train_acc=84.62 test_acc=77.85
epoch=59/300 lr=0.10000 train_acc=84.99 test_acc=77.12
epoch=60/300 lr=0.10000 train_acc=84.81 test_acc=80.25
epoch=61/300 lr=0.10000 train_acc=85.26 test_acc=74.60
epoch=62/300 lr=0.10000 train_acc=85.13 test_acc=82.74
epoch=63/300 lr=0.10000 train_acc=84.61 test_acc=74.97
epoch=64/300 lr=0.10000 train_acc=85.36 test_acc=77.98
epoch=65/300 lr=0.10000 train_acc=84.92 test_acc=77.20
epoch=66/300 lr=0.10000 train_acc=85.35 test_acc=81.69
epoch=67/300 lr=0.10000 train_acc=85.11 test_acc=77.47
epoch=68/300 lr=0.10000 train_acc=85.22 test_acc=75.91
epoch=69/300 lr=0.10000 train_acc=85.27 test_acc=78.78
epoch=70/300 lr=0.10000 train_acc=85.22 test_acc=81.43
epoch=71/300 lr=0.10000 train_acc=85.23 test_acc=71.12
epoch=72/300 lr=0.10000 train_acc=85.37 test_acc=71.99
epoch=73/300 lr=0.10000 train_acc=85.22 test_acc=76.72
epoch=74/300 lr=0.10000 train_acc=85.39 test_acc=80.25
epoch=75/300 lr=0.10000 train_acc=85.52 test_acc=81.46
epoch=76/300 lr=0.10000 train_acc=85.14 test_acc=76.08
epoch=77/300 lr=0.10000 train_acc=85.49 test_acc=77.64
epoch=78/300 lr=0.10000 train_acc=85.38 test_acc=79.73
epoch=79/300 lr=0.10000 train_acc=85.33 test_acc=81.18
epoch=80/300 lr=0.10000 train_acc=85.54 test_acc=83.30
epoch=81/300 lr=0.10000 train_acc=85.69 test_acc=80.18
epoch=82/300 lr=0.10000 train_acc=85.23 test_acc=81.38
epoch=83/300 lr=0.10000 train_acc=85.42 test_acc=78.66
epoch=84/300 lr=0.10000 train_acc=85.38 test_acc=77.32
epoch=85/300 lr=0.10000 train_acc=85.55 test_acc=79.44
epoch=86/300 lr=0.10000 train_acc=85.48 test_acc=78.27
epoch=87/300 lr=0.10000 train_acc=85.48 test_acc=80.84
epoch=88/300 lr=0.10000 train_acc=85.36 test_acc=81.40
epoch=89/300 lr=0.10000 train_acc=85.55 test_acc=80.56
epoch=90/300 lr=0.10000 train_acc=85.45 test_acc=82.87
epoch=91/300 lr=0.10000 train_acc=85.55 test_acc=84.27
epoch=92/300 lr=0.10000 train_acc=85.55 test_acc=76.27
epoch=93/300 lr=0.10000 train_acc=85.56 test_acc=75.35
epoch=94/300 lr=0.10000 train_acc=85.47 test_acc=82.14
epoch=95/300 lr=0.10000 train_acc=85.41 test_acc=79.25
epoch=96/300 lr=0.10000 train_acc=85.50 test_acc=75.87
epoch=97/300 lr=0.10000 train_acc=85.40 test_acc=80.66
epoch=98/300 lr=0.10000 train_acc=85.42 test_acc=76.47
epoch=99/300 lr=0.10000 train_acc=85.74 test_acc=75.71
epoch=100/300 lr=0.10000 train_acc=85.70 test_acc=79.64
epoch=101/300 lr=0.10000 train_acc=85.62 test_acc=77.21
epoch=102/300 lr=0.10000 train_acc=85.71 test_acc=80.95
epoch=103/300 lr=0.10000 train_acc=85.57 test_acc=78.95
epoch=104/300 lr=0.10000 train_acc=85.59 test_acc=74.81
epoch=105/300 lr=0.10000 train_acc=85.64 test_acc=80.33
epoch=106/300 lr=0.10000 train_acc=85.69 test_acc=82.27
epoch=107/300 lr=0.10000 train_acc=85.76 test_acc=81.73
epoch=108/300 lr=0.10000 train_acc=85.29 test_acc=82.36
epoch=109/300 lr=0.10000 train_acc=85.66 test_acc=78.80
epoch=110/300 lr=0.10000 train_acc=86.12 test_acc=77.01
epoch=111/300 lr=0.10000 train_acc=85.63 test_acc=82.79
epoch=112/300 lr=0.10000 train_acc=85.91 test_acc=78.94
epoch=113/300 lr=0.10000 train_acc=85.68 test_acc=81.47
epoch=114/300 lr=0.10000 train_acc=85.84 test_acc=79.67
epoch=115/300 lr=0.10000 train_acc=85.90 test_acc=84.12
epoch=116/300 lr=0.10000 train_acc=85.76 test_acc=76.53
epoch=117/300 lr=0.10000 train_acc=85.78 test_acc=79.18
epoch=118/300 lr=0.10000 train_acc=85.92 test_acc=79.56
epoch=119/300 lr=0.10000 train_acc=85.64 test_acc=79.05
epoch=120/300 lr=0.10000 train_acc=85.84 test_acc=83.31
epoch=121/300 lr=0.10000 train_acc=85.61 test_acc=77.71
epoch=122/300 lr=0.10000 train_acc=85.74 test_acc=72.65
epoch=123/300 lr=0.10000 train_acc=85.74 test_acc=75.18
epoch=124/300 lr=0.10000 train_acc=85.75 test_acc=82.71
epoch=125/300 lr=0.10000 train_acc=85.60 test_acc=79.49
epoch=126/300 lr=0.10000 train_acc=85.84 test_acc=81.49
epoch=127/300 lr=0.10000 train_acc=85.82 test_acc=81.72
epoch=128/300 lr=0.10000 train_acc=85.70 test_acc=79.27
epoch=129/300 lr=0.10000 train_acc=85.55 test_acc=77.40
epoch=130/300 lr=0.10000 train_acc=85.98 test_acc=81.42
epoch=131/300 lr=0.10000 train_acc=85.64 test_acc=78.12
epoch=132/300 lr=0.10000 train_acc=86.04 test_acc=83.80
epoch=133/300 lr=0.10000 train_acc=85.66 test_acc=83.07
epoch=134/300 lr=0.10000 train_acc=85.66 test_acc=78.56
epoch=135/300 lr=0.10000 train_acc=85.87 test_acc=82.27
epoch=136/300 lr=0.10000 train_acc=85.85 test_acc=80.73
epoch=137/300 lr=0.10000 train_acc=85.71 test_acc=80.00
epoch=138/300 lr=0.10000 train_acc=85.74 test_acc=72.33
epoch=139/300 lr=0.10000 train_acc=85.82 test_acc=77.15
epoch=140/300 lr=0.10000 train_acc=85.81 test_acc=78.17
epoch=141/300 lr=0.10000 train_acc=86.06 test_acc=75.66
epoch=142/300 lr=0.10000 train_acc=85.74 test_acc=82.87
epoch=143/300 lr=0.10000 train_acc=85.90 test_acc=81.84
epoch=144/300 lr=0.10000 train_acc=85.97 test_acc=74.12
epoch=145/300 lr=0.10000 train_acc=85.65 test_acc=81.54
epoch=146/300 lr=0.10000 train_acc=85.78 test_acc=82.67
epoch=147/300 lr=0.10000 train_acc=85.90 test_acc=78.55
epoch=148/300 lr=0.10000 train_acc=85.91 test_acc=80.58
epoch=149/300 lr=0.10000 train_acc=85.62 test_acc=76.84
epoch=150/300 lr=0.10000 train_acc=86.10 test_acc=79.94
epoch=151/300 lr=0.01000 train_acc=91.18 test_acc=90.26
epoch=152/300 lr=0.01000 train_acc=92.74 test_acc=90.51
epoch=153/300 lr=0.01000 train_acc=93.20 test_acc=90.99
epoch=154/300 lr=0.01000 train_acc=93.71 test_acc=90.97
epoch=155/300 lr=0.01000 train_acc=93.90 test_acc=91.03
epoch=156/300 lr=0.01000 train_acc=94.23 test_acc=90.71
epoch=157/300 lr=0.01000 train_acc=94.33 test_acc=91.28
epoch=158/300 lr=0.01000 train_acc=94.59 test_acc=91.11
epoch=159/300 lr=0.01000 train_acc=94.90 test_acc=90.80
epoch=160/300 lr=0.01000 train_acc=94.91 test_acc=91.17
epoch=161/300 lr=0.01000 train_acc=95.17 test_acc=91.33
epoch=162/300 lr=0.01000 train_acc=94.98 test_acc=91.16
epoch=163/300 lr=0.01000 train_acc=95.27 test_acc=91.18
epoch=164/300 lr=0.01000 train_acc=95.37 test_acc=91.46
epoch=165/300 lr=0.01000 train_acc=95.47 test_acc=90.53
epoch=166/300 lr=0.01000 train_acc=95.51 test_acc=90.64
epoch=167/300 lr=0.01000 train_acc=95.62 test_acc=90.98
epoch=168/300 lr=0.01000 train_acc=95.60 test_acc=90.38
epoch=169/300 lr=0.01000 train_acc=95.57 test_acc=90.85
epoch=170/300 lr=0.01000 train_acc=95.81 test_acc=90.36
epoch=171/300 lr=0.01000 train_acc=95.81 test_acc=90.66
epoch=172/300 lr=0.01000 train_acc=95.68 test_acc=91.11
epoch=173/300 lr=0.01000 train_acc=95.61 test_acc=90.66
epoch=174/300 lr=0.01000 train_acc=95.58 test_acc=90.48
epoch=175/300 lr=0.01000 train_acc=95.64 test_acc=90.64
epoch=176/300 lr=0.01000 train_acc=95.53 test_acc=90.13
epoch=177/300 lr=0.01000 train_acc=95.61 test_acc=90.79
epoch=178/300 lr=0.01000 train_acc=95.51 test_acc=90.93
epoch=179/300 lr=0.01000 train_acc=95.62 test_acc=91.10
epoch=180/300 lr=0.01000 train_acc=95.65 test_acc=89.67
epoch=181/300 lr=0.01000 train_acc=95.63 test_acc=88.70
epoch=182/300 lr=0.01000 train_acc=95.72 test_acc=89.11
epoch=183/300 lr=0.01000 train_acc=95.68 test_acc=89.79
epoch=184/300 lr=0.01000 train_acc=95.79 test_acc=89.80
