epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1,0.1,3.963461470413208,8.384,3.7439444303512572,11.57
2,0.1,3.3674619867706297,17.976,3.4249582147598265,17.85
3,0.1,2.8921586192321778,26.162,3.1889231061935424,23.6
4,0.1,2.5856924883270263,32.098,2.742662901878357,30.3
5,0.1,2.3889845489501953,36.658,2.6429473781585693,32.78
6,0.1,2.25517388999939,39.254,2.9827714157104492,31.48
7,0.1,2.147781171417236,41.77,2.3555629408359526,39.01
8,0.1,2.0636343342590333,43.582,2.4647533357143403,37.87
9,0.1,2.003507191848755,45.358,2.842691249847412,33.51
10,0.1,1.9534381691741944,46.23,2.9078081893920897,33.73
11,0.1,1.9033761837768555,47.516,2.3205661475658417,38.85
12,0.1,1.8710424360656739,48.25,2.146411557197571,44.55
13,0.1,1.8446815186309815,48.954,2.444671516418457,38.43
14,0.1,1.814757945022583,49.668,2.3531225156784057,39.68
15,0.1,1.7998992192840577,50.08,2.1086414194107057,45.16
16,0.1,1.7797590459442139,50.452,2.1995894861221315,42.74
17,0.1,1.7688953374481202,51.004,2.3867037785053253,42.07
18,0.1,1.7398134427642822,51.654,2.154338388442993,45.48
19,0.1,1.733997621536255,51.672,1.8564413499832153,49.12
20,0.1,1.7204925888061524,52.206,2.3179947793483735,40.74
21,0.1,1.7129734336090088,52.058,2.007009981870651,46.4
22,0.1,1.6913548336410522,52.706,1.990946147441864,46.12
23,0.1,1.6884901511383057,52.542,2.075788048505783,44.96
24,0.1,1.6779576377105714,53.018,2.5209158563613894,38.03
25,0.1,1.6774852017211914,53.152,2.2364683878421783,43.59
26,0.1,1.6598945322036742,53.568,2.1864782583713533,44.45
27,0.1,1.6659832431793213,53.254,2.6802381753921507,37.71
28,0.1,1.652681739501953,53.862,2.3328216350078583,41.11
29,0.1,1.6469787731933594,53.988,2.2966568994522096,42.08
30,0.1,1.6427370901489258,54.038,2.6615211367607117,38.51
31,0.1,1.6317653687286378,54.258,2.3416082239151,42.83
32,0.1,1.634439157333374,54.224,2.205900366306305,43.35
33,0.1,1.6285589199447632,54.45,2.27779088139534,42.14
34,0.1,1.620679783630371,54.61,2.2062887382507324,42.88
35,0.1,1.6174727072906494,54.576,2.0756542503833773,45.83
36,0.1,1.6137795499038696,54.6,2.0394452667236327,46.08
37,0.1,1.600974691772461,55.376,1.9918188619613648,46.62
38,0.1,1.6020241840362548,55.066,1.9043115329742433,48.68
39,0.1,1.6016186700057984,55.156,2.236025310754776,44.63
40,0.1,1.6029821670150757,54.852,2.0356697022914885,46.23
41,0.1,1.597145357055664,55.198,1.921153154373169,47.84
42,0.1,1.590161058921814,55.288,2.2632631075382235,44.76
43,0.1,1.5883501804351807,55.364,2.0287440049648287,46.83
44,0.1,1.581521781692505,55.634,1.9833859777450562,48.51
45,0.1,1.5779416942977906,55.576,2.1458600664138796,44.51
46,0.1,1.5812312250137328,55.63,2.0367877173423765,46.69
47,0.1,1.5805194339370727,55.428,2.2889075255393982,42.09
48,0.1,1.5774049188613892,55.492,2.156180771589279,46.22
49,0.1,1.5738592581558228,55.482,1.8675928318500519,49.53
50,0.1,1.5627623738861085,55.852,2.6649163591861726,39.08
51,0.1,1.5742928341293334,55.704,2.0965783762931824,46.5
52,0.1,1.5627966534423827,55.924,2.0027737295627595,47.57
53,0.1,1.5725536681747436,56.016,1.9432219910621642,48.23
54,0.1,1.5571615604400635,56.27,2.118768526315689,44.97
55,0.1,1.5498413571166991,56.376,2.1446431005001068,46.66
56,0.1,1.5593898153686523,56.056,2.483619672060013,39.76
57,0.1,1.5570469735717773,56.012,1.8652074193954469,50.21
58,0.1,1.5462176151275635,56.69,1.9659974670410156,48.31
59,0.1,1.5529798049926757,56.116,2.1559543120861053,47.14
60,0.1,1.553365577583313,55.916,2.0165909922122953,46.65
61,0.1,1.5467721620941162,56.138,2.133685649633408,46.45
62,0.1,1.5414057852554321,56.396,2.030135630369186,47.71
63,0.1,1.541829411354065,56.542,1.8411665594577789,50.68
64,0.1,1.536858680229187,56.644,1.8725711476802827,49.77
65,0.1,1.5346734915924072,56.642,2.0090841937065123,48.32
66,0.1,1.5371693572998046,56.664,2.0931034934520723,46.94
67,0.1,1.5412965191268921,56.488,2.017749079465866,46.67
68,0.1,1.538253057861328,56.576,1.889746778011322,49.11
69,0.1,1.5324215114593507,56.874,2.2560208559036257,45.21
70,0.1,1.541126268081665,56.59,2.091417648792267,45.15
71,0.1,1.5352634694671632,56.446,2.3026444685459135,42.68
72,0.1,1.528081533203125,56.996,2.2076135432720183,45.04
73,0.1,1.5249411407089233,56.93,2.0151556718349455,47.5
74,0.1,1.5277259948348998,56.812,2.0692816698551177,46.8
75,0.1,1.5316910513305664,56.846,1.7805738413333894,51.57
76,0.1,1.5254765225601197,56.846,2.049529868364334,46.59
77,0.1,1.5296025882720947,57.046,2.151079994440079,44.65
78,0.1,1.5317704336166382,56.77,2.3505921864509585,41.52
79,0.1,1.5332292448425293,56.994,1.9868658518791198,47.91
80,0.1,1.522029442138672,57.156,2.2070338022708893,44.07
81,0.1,1.5258413538360596,56.968,2.119890170097351,45.91
82,0.1,1.5202894370269775,57.138,1.948807269334793,48.45
83,0.1,1.5301357695770264,56.94,1.8058017539978026,51.07
84,0.1,1.523364286880493,56.846,2.2295577585697175,44.01
85,0.1,1.5210323694610595,57.132,2.075342047214508,47.29
86,0.1,1.5243028855133056,56.94,1.93171999335289,49.29
87,0.1,1.5186646056747437,57.124,1.8496038699150086,49.24
88,0.1,1.5144972579193114,57.158,1.9050101625919342,50.5
89,0.1,1.5140823302459716,57.298,2.0220425546169283,46.96
90,0.1,1.5193831995010376,57.248,2.0617489659786226,47.34
91,0.1,1.5183358489227294,57.244,2.217283511161804,44.53
92,0.1,1.5210848574066163,56.958,1.9430524826049804,47.38
93,0.1,1.514049115600586,57.116,1.8577806437015534,50.41
94,0.1,1.5128990238952638,57.166,2.019925203323364,48.61
95,0.1,1.5138956360626221,57.262,2.086842758655548,44.96
96,0.1,1.5055050722503662,57.638,1.8407816195487976,50.41
97,0.1,1.511150117111206,57.34,1.9056712591648102,49.7
98,0.1,1.5115816931152344,57.244,1.944639768600464,48.28
99,0.1,1.501335969772339,57.88,1.9709433138370513,47.64
100,0.1,1.504889774017334,57.322,2.504287589788437,39.26
101,0.1,1.5079600329589844,57.47,1.799728001356125,51.51
102,0.1,1.5044147408676147,57.482,1.7829736936092377,51.57
103,0.1,1.505615989112854,57.456,2.0470350444316865,46.95
104,0.1,1.5092934499359132,57.412,2.021389080286026,46.98
105,0.1,1.5036076277542114,57.574,1.8048937594890595,50.62
106,0.1,1.4993391717910767,57.464,1.8360812854766846,50.37
107,0.1,1.5052459813690187,57.42,1.775185616016388,51.69
108,0.1,1.5019308504486084,57.508,2.4226385509967803,42.95
109,0.1,1.4926680609893799,57.588,1.8268595695495606,51.91
110,0.1,1.497054475364685,57.87,1.8876871800422668,50.72
111,0.1,1.507686157951355,57.266,2.091787133216858,45.7
112,0.1,1.504652152824402,57.422,1.9009329533576966,49.27
113,0.1,1.4950811352157594,57.7,2.18497597694397,43.55
114,0.1,1.4922235681533813,57.848,1.88225701212883,49.78
115,0.1,1.4946677622222901,57.754,2.091058895587921,45.81
116,0.1,1.499529094772339,57.502,2.385097098350525,42.94
117,0.1,1.4878523321914672,57.8,1.8851522850990294,51.0
118,0.1,1.4910850032806398,57.808,1.8922594320774078,48.65
119,0.1,1.4941979531097411,57.618,1.8940768575668334,49.44
120,0.1,1.4944104790878296,57.8,2.471706622838974,43.65
121,0.1,1.5063532354354858,57.462,2.1322244846820833,45.73
122,0.1,1.5007237866973877,57.624,1.9599821043014527,49.59
123,0.1,1.4955330877304076,57.84,1.8426921701431274,50.44
124,0.1,1.4880447351837158,57.778,2.145407657623291,47.17
125,0.1,1.485730521774292,58.004,2.236491372585297,44.24
126,0.1,1.4944798836898803,57.812,1.7909277951717377,51.44
127,0.1,1.4957260865020752,57.632,1.8891668903827668,49.55
128,0.1,1.4831305740356446,58.184,1.8483453965187073,49.47
129,0.1,1.491016721572876,57.7,2.021614148616791,47.54
130,0.1,1.4955229718399048,57.766,1.90201584815979,50.82
131,0.1,1.4959983877563476,57.574,2.1519691812992097,45.36
