start experiment=cifar100_resnet20_baseline seed=1001
epoch=1/300 lr=0.10000 train_acc=8.38 test_acc=11.57
epoch=2/300 lr=0.10000 train_acc=17.98 test_acc=17.85
epoch=3/300 lr=0.10000 train_acc=26.16 test_acc=23.60
epoch=4/300 lr=0.10000 train_acc=32.10 test_acc=30.30
epoch=5/300 lr=0.10000 train_acc=36.66 test_acc=32.78
epoch=6/300 lr=0.10000 train_acc=39.25 test_acc=31.48
epoch=7/300 lr=0.10000 train_acc=41.77 test_acc=39.01
epoch=8/300 lr=0.10000 train_acc=43.58 test_acc=37.87
epoch=9/300 lr=0.10000 train_acc=45.36 test_acc=33.51
epoch=10/300 lr=0.10000 train_acc=46.23 test_acc=33.73
epoch=11/300 lr=0.10000 train_acc=47.52 test_acc=38.85
epoch=12/300 lr=0.10000 train_acc=48.25 test_acc=44.55
epoch=13/300 lr=0.10000 train_acc=48.95 test_acc=38.43
epoch=14/300 lr=0.10000 train_acc=49.67 test_acc=39.68
epoch=15/300 lr=0.10000 train_acc=50.08 test_acc=45.16
epoch=16/300 lr=0.10000 train_acc=50.45 test_acc=42.74
epoch=17/300 lr=0.10000 train_acc=51.00 test_acc=42.07
epoch=18/300 lr=0.10000 train_acc=51.65 test_acc=45.48
epoch=19/300 lr=0.10000 train_acc=51.67 test_acc=49.12
epoch=20/300 lr=0.10000 train_acc=52.21 test_acc=40.74
epoch=21/300 lr=0.10000 train_acc=52.06 test_acc=46.40
epoch=22/300 lr=0.10000 train_acc=52.71 test_acc=46.12
epoch=23/300 lr=0.10000 train_acc=52.54 test_acc=44.96
epoch=24/300 lr=0.10000 train_acc=53.02 test_acc=38.03
epoch=25/300 lr=0.10000 train_acc=53.15 test_acc=43.59
epoch=26/300 lr=0.10000 train_acc=53.57 test_acc=44.45
epoch=27/300 lr=0.10000 train_acc=53.25 test_acc=37.71
epoch=28/300 lr=0.10000 train_acc=53.86 test_acc=41.11
epoch=29/300 lr=0.10000 train_acc=53.99 test_acc=42.08
epoch=30/300 lr=0.10000 train_acc=54.04 test_acc=38.51
epoch=31/300 lr=0.10000 train_acc=54.26 test_acc=42.83
epoch=32/300 lr=0.10000 train_acc=54.22 test_acc=43.35
epoch=33/300 lr=0.10000 train_acc=54.45 test_acc=42.14
epoch=34/300 lr=0.10000 train_acc=54.61 test_acc=42.88
epoch=35/300 lr=0.10000 train_acc=54.58 test_acc=45.83
epoch=36/300 lr=0.10000 train_acc=54.60 test_acc=46.08
epoch=37/300 lr=0.10000 train_acc=55.38 test_acc=46.62
epoch=38/300 lr=0.10000 train_acc=55.07 test_acc=48.68
epoch=39/300 lr=0.10000 train_acc=55.16 test_acc=44.63
epoch=40/300 lr=0.10000 train_acc=54.85 test_acc=46.23
epoch=41/300 lr=0.10000 train_acc=55.20 test_acc=47.84
epoch=42/300 lr=0.10000 train_acc=55.29 test_acc=44.76
epoch=43/300 lr=0.10000 train_acc=55.36 test_acc=46.83
epoch=44/300 lr=0.10000 train_acc=55.63 test_acc=48.51
epoch=45/300 lr=0.10000 train_acc=55.58 test_acc=44.51
epoch=46/300 lr=0.10000 train_acc=55.63 test_acc=46.69
epoch=47/300 lr=0.10000 train_acc=55.43 test_acc=42.09
epoch=48/300 lr=0.10000 train_acc=55.49 test_acc=46.22
epoch=49/300 lr=0.10000 train_acc=55.48 test_acc=49.53
epoch=50/300 lr=0.10000 train_acc=55.85 test_acc=39.08
epoch=51/300 lr=0.10000 train_acc=55.70 test_acc=46.50
epoch=52/300 lr=0.10000 train_acc=55.92 test_acc=47.57
epoch=53/300 lr=0.10000 train_acc=56.02 test_acc=48.23
epoch=54/300 lr=0.10000 train_acc=56.27 test_acc=44.97
epoch=55/300 lr=0.10000 train_acc=56.38 test_acc=46.66
epoch=56/300 lr=0.10000 train_acc=56.06 test_acc=39.76
epoch=57/300 lr=0.10000 train_acc=56.01 test_acc=50.21
epoch=58/300 lr=0.10000 train_acc=56.69 test_acc=48.31
epoch=59/300 lr=0.10000 train_acc=56.12 test_acc=47.14
epoch=60/300 lr=0.10000 train_acc=55.92 test_acc=46.65
epoch=61/300 lr=0.10000 train_acc=56.14 test_acc=46.45
epoch=62/300 lr=0.10000 train_acc=56.40 test_acc=47.71
epoch=63/300 lr=0.10000 train_acc=56.54 test_acc=50.68
epoch=64/300 lr=0.10000 train_acc=56.64 test_acc=49.77
epoch=65/300 lr=0.10000 train_acc=56.64 test_acc=48.32
epoch=66/300 lr=0.10000 train_acc=56.66 test_acc=46.94
epoch=67/300 lr=0.10000 train_acc=56.49 test_acc=46.67
epoch=68/300 lr=0.10000 train_acc=56.58 test_acc=49.11
epoch=69/300 lr=0.10000 train_acc=56.87 test_acc=45.21
epoch=70/300 lr=0.10000 train_acc=56.59 test_acc=45.15
epoch=71/300 lr=0.10000 train_acc=56.45 test_acc=42.68
epoch=72/300 lr=0.10000 train_acc=57.00 test_acc=45.04
epoch=73/300 lr=0.10000 train_acc=56.93 test_acc=47.50
epoch=74/300 lr=0.10000 train_acc=56.81 test_acc=46.80
epoch=75/300 lr=0.10000 train_acc=56.85 test_acc=51.57
epoch=76/300 lr=0.10000 train_acc=56.85 test_acc=46.59
epoch=77/300 lr=0.10000 train_acc=57.05 test_acc=44.65
epoch=78/300 lr=0.10000 train_acc=56.77 test_acc=41.52
epoch=79/300 lr=0.10000 train_acc=56.99 test_acc=47.91
epoch=80/300 lr=0.10000 train_acc=57.16 test_acc=44.07
epoch=81/300 lr=0.10000 train_acc=56.97 test_acc=45.91
epoch=82/300 lr=0.10000 train_acc=57.14 test_acc=48.45
epoch=83/300 lr=0.10000 train_acc=56.94 test_acc=51.07
epoch=84/300 lr=0.10000 train_acc=56.85 test_acc=44.01
epoch=85/300 lr=0.10000 train_acc=57.13 test_acc=47.29
epoch=86/300 lr=0.10000 train_acc=56.94 test_acc=49.29
epoch=87/300 lr=0.10000 train_acc=57.12 test_acc=49.24
epoch=88/300 lr=0.10000 train_acc=57.16 test_acc=50.50
epoch=89/300 lr=0.10000 train_acc=57.30 test_acc=46.96
epoch=90/300 lr=0.10000 train_acc=57.25 test_acc=47.34
epoch=91/300 lr=0.10000 train_acc=57.24 test_acc=44.53
epoch=92/300 lr=0.10000 train_acc=56.96 test_acc=47.38
epoch=93/300 lr=0.10000 train_acc=57.12 test_acc=50.41
epoch=94/300 lr=0.10000 train_acc=57.17 test_acc=48.61
epoch=95/300 lr=0.10000 train_acc=57.26 test_acc=44.96
epoch=96/300 lr=0.10000 train_acc=57.64 test_acc=50.41
epoch=97/300 lr=0.10000 train_acc=57.34 test_acc=49.70
epoch=98/300 lr=0.10000 train_acc=57.24 test_acc=48.28
epoch=99/300 lr=0.10000 train_acc=57.88 test_acc=47.64
epoch=100/300 lr=0.10000 train_acc=57.32 test_acc=39.26
epoch=101/300 lr=0.10000 train_acc=57.47 test_acc=51.51
epoch=102/300 lr=0.10000 train_acc=57.48 test_acc=51.57
epoch=103/300 lr=0.10000 train_acc=57.46 test_acc=46.95
epoch=104/300 lr=0.10000 train_acc=57.41 test_acc=46.98
epoch=105/300 lr=0.10000 train_acc=57.57 test_acc=50.62
epoch=106/300 lr=0.10000 train_acc=57.46 test_acc=50.37
epoch=107/300 lr=0.10000 train_acc=57.42 test_acc=51.69
epoch=108/300 lr=0.10000 train_acc=57.51 test_acc=42.95
epoch=109/300 lr=0.10000 train_acc=57.59 test_acc=51.91
epoch=110/300 lr=0.10000 train_acc=57.87 test_acc=50.72
epoch=111/300 lr=0.10000 train_acc=57.27 test_acc=45.70
epoch=112/300 lr=0.10000 train_acc=57.42 test_acc=49.27
epoch=113/300 lr=0.10000 train_acc=57.70 test_acc=43.55
epoch=114/300 lr=0.10000 train_acc=57.85 test_acc=49.78
epoch=115/300 lr=0.10000 train_acc=57.75 test_acc=45.81
epoch=116/300 lr=0.10000 train_acc=57.50 test_acc=42.94
epoch=117/300 lr=0.10000 train_acc=57.80 test_acc=51.00
epoch=118/300 lr=0.10000 train_acc=57.81 test_acc=48.65
epoch=119/300 lr=0.10000 train_acc=57.62 test_acc=49.44
epoch=120/300 lr=0.10000 train_acc=57.80 test_acc=43.65
epoch=121/300 lr=0.10000 train_acc=57.46 test_acc=45.73
epoch=122/300 lr=0.10000 train_acc=57.62 test_acc=49.59
